cell_id,xml_type,subtype,backend,surface,reader_class,product_claim,status,reason,evidence_ref
Spectrum/0:external:auto:FrequencySeries,Spectrum,0,external,auto,FrequencySeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/0:external:auto:FrequencySeriesDict,Spectrum,0,external,auto,FrequencySeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/0:external:auto:FrequencySeriesMatrix,Spectrum,0,external,auto,FrequencySeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/0:native:normalize:-,Spectrum,0,native,normalize,-,FFT; Y payload; floatComplex/complex64 from subtype source survey,observed,"Native parser subtype dispatch does not emit this product; this is an implementation gap, not evidence that the XML subtype is invalid.",gwexpy/io/dttxml_common.py::load_dttxml_native; docs/plans/2026-09-25-diaggui-xml-product-audit.md#fft-stf-and-other-subtypes
Spectrum/0:native:explicit:TimeSeries,Spectrum,0,native,explicit,TimeSeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:native:explicit:TimeSeriesDict,Spectrum,0,native,explicit,TimeSeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:native:explicit:TimeSeriesMatrix,Spectrum,0,native,explicit,TimeSeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:native:explicit:FrequencySeries,Spectrum,0,native,explicit,FrequencySeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:native:explicit:FrequencySeriesDict,Spectrum,0,native,explicit,FrequencySeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:native:explicit:FrequencySeriesMatrix,Spectrum,0,native,explicit,FrequencySeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:native:auto:TimeSeries,Spectrum,0,native,auto,TimeSeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:native:auto:TimeSeriesDict,Spectrum,0,native,auto,TimeSeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:native:auto:TimeSeriesMatrix,Spectrum,0,native,auto,TimeSeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:native:auto:FrequencySeries,Spectrum,0,native,auto,FrequencySeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/0:native:auto:FrequencySeriesDict,Spectrum,0,native,auto,FrequencySeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/0:native:auto:FrequencySeriesMatrix,Spectrum,0,native,auto,FrequencySeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/0:fallback:normalize:-,Spectrum,0,fallback,normalize,-,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype was not run through a reader in a clean no-dttxml process; only Spectrum/2 CSD has a verified frequency-product fallback probe.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:fallback:explicit:TimeSeries,Spectrum,0,fallback,explicit,TimeSeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:fallback:explicit:TimeSeriesDict,Spectrum,0,fallback,explicit,TimeSeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:fallback:explicit:TimeSeriesMatrix,Spectrum,0,fallback,explicit,TimeSeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:fallback:explicit:FrequencySeries,Spectrum,0,fallback,explicit,FrequencySeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:fallback:explicit:FrequencySeriesDict,Spectrum,0,fallback,explicit,FrequencySeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:fallback:explicit:FrequencySeriesMatrix,Spectrum,0,fallback,explicit,FrequencySeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:fallback:auto:TimeSeries,Spectrum,0,fallback,auto,TimeSeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:fallback:auto:TimeSeriesDict,Spectrum,0,fallback,auto,TimeSeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:fallback:auto:TimeSeriesMatrix,Spectrum,0,fallback,auto,TimeSeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/0:fallback:auto:FrequencySeries,Spectrum,0,fallback,auto,FrequencySeries,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:fallback:auto:FrequencySeriesDict,Spectrum,0,fallback,auto,FrequencySeriesDict,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/0:fallback:auto:FrequencySeriesMatrix,Spectrum,0,fallback,auto,FrequencySeriesMatrix,FFT; Y payload; floatComplex/complex64 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:external:normalize:-,Spectrum,1,external,normalize,-,PSD; Y payload; float/float32 from subtype source survey,verified,Installed dttxml normalization and decoded payload are covered by an existing verified fixture/test for this subtype.,tests/io/test_dttxml_issue726.py; tests/io/dttxml_audit/test_subtypes.py
Spectrum/1:external:explicit:TimeSeries,Spectrum,1,external,explicit,TimeSeries,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:external:explicit:TimeSeriesDict,Spectrum,1,external,explicit,TimeSeriesDict,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:external:explicit:TimeSeriesMatrix,Spectrum,1,external,explicit,TimeSeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:external:explicit:FrequencySeries,Spectrum,1,external,explicit,FrequencySeries,PSD; Y payload; float/float32 from subtype source survey,verified,"This subtype/class/backend/surface has a positive integrated assertion for values, coordinates, pair direction, and applicable metadata.",tests/io/test_dttxml_issue726.py; tests/io/dttxml_audit/test_readers.py
Spectrum/1:external:explicit:FrequencySeriesDict,Spectrum,1,external,explicit,FrequencySeriesDict,PSD; Y payload; float/float32 from subtype source survey,verified,"This subtype/class/backend/surface has a positive integrated assertion for values, coordinates, pair direction, and applicable metadata.",tests/io/test_dttxml_issue726.py; tests/io/dttxml_audit/test_readers.py
Spectrum/1:external:explicit:FrequencySeriesMatrix,Spectrum,1,external,explicit,FrequencySeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:external:auto:TimeSeries,Spectrum,1,external,auto,TimeSeries,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:external:auto:TimeSeriesDict,Spectrum,1,external,auto,TimeSeriesDict,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:external:auto:TimeSeriesMatrix,Spectrum,1,external,auto,TimeSeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:external:auto:FrequencySeries,Spectrum,1,external,auto,FrequencySeries,PSD; Y payload; float/float32 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/1:external:auto:FrequencySeriesDict,Spectrum,1,external,auto,FrequencySeriesDict,PSD; Y payload; float/float32 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/1:external:auto:FrequencySeriesMatrix,Spectrum,1,external,auto,FrequencySeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/1:native:normalize:-,Spectrum,1,native,normalize,-,PSD; Y payload; float/float32 from subtype source survey,verified,Native normalized payload values and reader behavior are asserted by the integrated positive characterization.,tests/io/test_dttxml_issue726.py; tests/io/dttxml_audit/test_subtypes.py
Spectrum/1:native:explicit:TimeSeries,Spectrum,1,native,explicit,TimeSeries,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:native:explicit:TimeSeriesDict,Spectrum,1,native,explicit,TimeSeriesDict,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:native:explicit:TimeSeriesMatrix,Spectrum,1,native,explicit,TimeSeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:native:explicit:FrequencySeries,Spectrum,1,native,explicit,FrequencySeries,PSD; Y payload; float/float32 from subtype source survey,verified,"This subtype/class/backend/surface has a positive integrated assertion for values, coordinates, pair direction, and applicable metadata.",tests/io/test_dttxml_issue726.py; tests/io/dttxml_audit/test_readers.py
Spectrum/1:native:explicit:FrequencySeriesDict,Spectrum,1,native,explicit,FrequencySeriesDict,PSD; Y payload; float/float32 from subtype source survey,verified,"This subtype/class/backend/surface has a positive integrated assertion for values, coordinates, pair direction, and applicable metadata.",tests/io/test_dttxml_issue726.py; tests/io/dttxml_audit/test_readers.py
Spectrum/1:native:explicit:FrequencySeriesMatrix,Spectrum,1,native,explicit,FrequencySeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:native:auto:TimeSeries,Spectrum,1,native,auto,TimeSeries,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:native:auto:TimeSeriesDict,Spectrum,1,native,auto,TimeSeriesDict,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:native:auto:TimeSeriesMatrix,Spectrum,1,native,auto,TimeSeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:native:auto:FrequencySeries,Spectrum,1,native,auto,FrequencySeries,PSD; Y payload; float/float32 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/1:native:auto:FrequencySeriesDict,Spectrum,1,native,auto,FrequencySeriesDict,PSD; Y payload; float/float32 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/1:native:auto:FrequencySeriesMatrix,Spectrum,1,native,auto,FrequencySeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
Spectrum/1:fallback:normalize:-,Spectrum,1,fallback,normalize,-,PSD; Y payload; float/float32 from subtype source survey,unverified,This subtype was not run through a reader in a clean no-dttxml process; only Spectrum/2 CSD has a verified frequency-product fallback probe.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:fallback:explicit:TimeSeries,Spectrum,1,fallback,explicit,TimeSeries,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:fallback:explicit:TimeSeriesDict,Spectrum,1,fallback,explicit,TimeSeriesDict,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:fallback:explicit:TimeSeriesMatrix,Spectrum,1,fallback,explicit,TimeSeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:fallback:explicit:FrequencySeries,Spectrum,1,fallback,explicit,FrequencySeries,PSD; Y payload; float/float32 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:fallback:explicit:FrequencySeriesDict,Spectrum,1,fallback,explicit,FrequencySeriesDict,PSD; Y payload; float/float32 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:fallback:explicit:FrequencySeriesMatrix,Spectrum,1,fallback,explicit,FrequencySeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:fallback:auto:TimeSeries,Spectrum,1,fallback,auto,TimeSeries,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:fallback:auto:TimeSeriesDict,Spectrum,1,fallback,auto,TimeSeriesDict,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:fallback:auto:TimeSeriesMatrix,Spectrum,1,fallback,auto,TimeSeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/1:fallback:auto:FrequencySeries,Spectrum,1,fallback,auto,FrequencySeries,PSD; Y payload; float/float32 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:fallback:auto:FrequencySeriesDict,Spectrum,1,fallback,auto,FrequencySeriesDict,PSD; Y payload; float/float32 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/1:fallback:auto:FrequencySeriesMatrix,Spectrum,1,fallback,auto,FrequencySeriesMatrix,PSD; Y payload; float/float32 from subtype source survey,unverified,Frequency-product public reader behavior was not exercised in a clean no-dttxml environment for this class and surface.,docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/2:external:normalize:-,Spectrum,2,external,normalize,-,CSD; Y payload; floatComplex/complex64 from subtype source survey,verified,Installed dttxml normalization and decoded payload are covered by an existing verified fixture/test for this subtype.,tests/io/test_dttxml_issue726.py; tests/io/dttxml_audit/test_subtypes.py
Spectrum/2:external:explicit:TimeSeries,Spectrum,2,external,explicit,TimeSeries,CSD; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/2:external:explicit:TimeSeriesDict,Spectrum,2,external,explicit,TimeSeriesDict,CSD; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/2:external:explicit:TimeSeriesMatrix,Spectrum,2,external,explicit,TimeSeriesMatrix,CSD; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/2:external:explicit:FrequencySeries,Spectrum,2,external,explicit,FrequencySeries,CSD; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/2:external:explicit:FrequencySeriesDict,Spectrum,2,external,explicit,FrequencySeriesDict,CSD; Y payload; floatComplex/complex64 from subtype source survey,unverified,This subtype/class/backend/surface combination has no direct integrated read assertion; subtype inventory evidence does not establish every return-type and metadata route.,tests/io/test_dttxml_issue726.py; docs/plans/2026-09-25-diaggui-xml-product-audit.md#coverage-gaps
Spectrum/2:external:explicit:FrequencySeriesMatrix,Spectrum,2,external,explicit,FrequencySeriesMatrix,CSD; Y payload; floatComplex/complex64 from subtype source survey,verified,"This subtype/class/backend/surface has a positive integrated assertion for values, coordinates, pair direction, and applicable metadata.",tests/io/test_dttxml_issue726.py; tests/io/dttxml_audit/test_readers.py
Spectrum/2:external:auto:TimeSeries,Spectrum,2,external,auto,TimeSeries,CSD; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/2:external:auto:TimeSeriesDict,Spectrum,2,external,auto,TimeSeriesDict,CSD; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/2:external:auto:TimeSeriesMatrix,Spectrum,2,external,auto,TimeSeriesMatrix,CSD; Y payload; floatComplex/complex64 from subtype source survey,N/A,Spectrum and TransferFunction are frequency-domain XML types,docs/plans/2026-09-25-diaggui-xml-product-audit.md#product-claims-and-n-a-rationale
Spectrum/2:external:auto:FrequencySeries,Spectrum,2,external,auto,FrequencySeries,CSD; Y payload; floatComplex/complex64 from subtype source survey,unverified,Auto identifier is present for this class but this subtype/backend auto-read combination lacks a direct positive assertion.,gwexpy/frequencyseries/io/dttxml.py:registration; docs/plans/2026-09-25-diaggui-xml-product-audit.md#registry-observations
